Member_number,itemDescription,itemCost
1804,beef,7.07
1510,sausage,2.65
2879,hair spray,8.13
4899,chicken,7.57
4326,pork,5.16
1670,ice cream,8.03
1117,meat,3.48
1346,vegetables,3.27
1178,bottled water,4.69
1649,tropical fruit,7.28
4651,photo/film,3.28
4243,sausage,2.65
4429,grapes,9.57
4645,eggs,7.61
4019,rolls_buns,8.11
4459,tropical fruit,7.28
3006,chicken,7.57
1834,sausage,2.65
3236,berries,4.72
1765,margarine,2.4
3855,tropical fruit,7.28
4392,ham,7.84
3330,hamburger meat,8.96
1723,yogurt,9.51
4110,soda,8.04
2600,yogurt,9.51
2946,soda,8.04
2426,bottled water,4.69
4170,sausage,2.65
1109,citrus fruit,9.12
3429,shopping bags,6.96
2055,newspapers,8.56
2480,sausage,2.65
2441,sausage,2.65
1054,sausage,2.65
4818,salt,9.84
3379,oil,5.64
3939,curd,2.47
1367,vegetables,3.27
1043,citrus fruit,9.12
2231,sausage,2.65
3235,vegetables,3.27
4554,tropical fruit,7.28
3245,beef,7.07
2996,berries,4.72
2507,canned beer,9.06
4186,cream,8.75
3929,vegetables,3.27
3760,whole milk,8.15
4928,beef,7.07
4217,frozen vegetables,2.17
1174,rolls_buns,8.11
4103,whole milk,8.15
4408,whole milk,8.15
2588,citrus fruit,9.12
2598,pastry,6.14
1518,sausage,2.65
2702,tropical fruit,7.28
1001,sausage,2.65
2270,berries,4.72
2838,rolls_buns,8.11
1683,vegetables,3.27
4040,yogurt,9.51
3897,vegetables,3.27
2200,berries,4.72
4073,berries,4.72
3700,vegetables,3.27
3973,rolls_buns,8.11
2715,ham,7.84
3967,whole milk,8.15
4002,tropical fruit,7.28
2962,bottled water,4.69
4340,butter milk,2.61
2092,newspapers,8.56
3143,coffee,6.13
2209,bottled beer,3.37
2816,onions,4.27
2659,hamburger meat,8.96
1588,sausage,2.65
1144,hard cheese,3.42
2166,sausage,2.65
3300,hamburger meat,8.96
3944,onions,4.27
4979,coffee,6.13
2630,shopping bags,6.96
4240,yogurt,9.51
2357,soda,8.04
1743,sliced cheese,5.66
2331,sausage,2.65
1643,yogurt,9.51
1291,eggs,7.61
3675,whole milk,8.15
4134,meat,3.48
1363,dish cleaner,5.33
4212,vegetables,3.27
1500,whole milk,8.15
2622,vegetables,3.27
3543,tropical fruit,7.28
2525,baking powder,6.43
1264,specialty bar,6.93
3601,ice cream,8.03
1771,sausage,2.65
4694,canned beer,9.06
1122,bottled water,4.69
3507,vegetables,3.27
4524,citrus fruit,9.12
3612,sausage,2.65
3262,eggs,7.61
1897,pork,5.16
1656,specialty cheese,5.7
3953,pork,5.16
1488,beef,7.07
1652,vegetables,3.27
4953,chicken,7.57
3445,soda,8.04
3180,whole milk,8.15
4934,rolls_buns,8.11
2980,bottled beer,3.37
2763,vegetables,3.27
4819,pastry,6.14
3169,berries,4.72
1850,citrus fruit,9.12
4285,whole milk,8.15
4366,soda,8.04
2253,bottled water,4.69
3398,tropical fruit,7.28
2215,salty snack,8.88
3737,bottled water,4.69
2649,chocolate,8.36
3203,citrus fruit,9.12
4261,bottled water,4.69
2435,onions,4.27
2046,dessert,3.75
4267,beef,7.07
1086,rolls_buns,8.11
1992,beef,7.07
3622,soda,8.04
4700,coffee,6.13
2272,rolls_buns,8.11
1663,pork,5.16
2519,soda,8.04
2639,sausage,2.65
1466,beef,7.07
4122,whole milk,8.15
3598,pork,5.16
3097,berries,4.72
1873,sausage,2.65
1537,bottled water,4.69
3960,tropical fruit,7.28
1136,herbs,6.13
2453,yogurt,9.51
1746,Instant food products,6.05
3572,specialty chocolate,3.61
3246,coffee,6.13
3207,bottled beer,3.37
1042,beef,7.07
1176,whole milk,8.15
3054,sausage,2.65
4486,sausage,2.65
1580,vegetables,3.27
1623,sausage,2.65
4169,whole milk,8.15
2254,sausage,2.65
4095,vegetables,3.27
1264,bottled water,4.69
3375,pork,5.16
3242,bottled water,4.69
2227,vegetables,3.27
3847,hamburger meat,8.96
3897,hamburger meat,8.96
1799,shopping bags,6.96
2920,whole milk,8.15
3713,ice cream,8.03
4230,pastry,6.14
1455,ham,7.84
3687,sausage,2.65
3869,sausage,2.65
2988,bottled beer,3.37
4242,bottled water,4.69
4118,meat,3.48
4996,dessert,3.75
4489,vegetables,3.27
1199,beverages,6.77
4108,ham,7.84
3484,specialty bar,6.93
1239,brown bread,8.2
4839,whole milk,8.15
4748,rolls_buns,8.11
4426,bottled beer,3.37
3571,pet care,4.48
2852,citrus fruit,9.12
3638,pork,5.16
3635,vegetables,3.27
2723,white wine,7.06
3495,whole milk,8.15
2813,pip fruit,3.52
2799,sugar,2.61
4723,tropical fruit,7.28
3313,vegetables,3.27
4748,soda,8.04
2991,whole milk,8.15
1483,tropical fruit,7.28
3950,white bread,2.43
1634,brown bread,8.2
2694,tropical fruit,7.28
2707,eggs,7.61
2813,coffee,6.13
2276,soda,8.04
4726,whole milk,8.15
4353,bottled beer,3.37
4017,pork,5.16
1422,vegetables,3.27
2714,yogurt,9.51
2769,sparkling wine,5.88
4166,bottled water,4.69
3614,citrus fruit,9.12
4361,hamburger meat,8.96
1922,packaged fruit/vegetables,3.09
4728,vegetables,3.27
3646,soda,8.04
1155,whole milk,8.15
2119,herbs,6.13
1602,citrus fruit,9.12
1074,misc. beverages,7.18
2256,female sanitary products,6.72
1348,soda,8.04
3806,tropical fruit,7.28
1711,soda,8.04
3959,white bread,2.43
1590,coffee,6.13
1962,tropical fruit,7.28
1766,pork,5.16
2551,citrus fruit,9.12
2294,sausage,2.65
4531,sausage,2.65
2957,sausage,2.65
4415,vegetables,3.27
1476,yogurt,9.51
3978,sausage,2.65
2062,whole milk,8.15
3252,pip fruit,3.52
3922,whole milk,8.15
1491,vegetables,3.27
3526,onions,4.27
4060,specialty chocolate,3.61
1067,hamburger meat,8.96
2840,photo/film,3.28
4484,rolls_buns,8.11
2353,canned beer,9.06
3130,canned beer,9.06
4273,vegetables,3.27
4565,canned beer,9.06
2504,curd,2.47
4127,butter,7.84
2690,vegetables,3.27
4129,whole milk,8.15
4511,beef,7.07
1602,sausage,2.65
4369,soda,8.04
1302,fruit juice,8.22
3326,rolls_buns,8.11
2066,pip fruit,3.52
3483,frozen vegetables,2.17
2840,beverages,6.77
1807,hamburger meat,8.96
2067,vegetables,3.27
3783,canned beer,9.06
2884,frozen vegetables,2.17
2908,canned beer,9.06
1330,newspapers,8.56
2293,rolls_buns,8.11
3718,hamburger meat,8.96
4338,pip fruit,3.52
3486,canned beer,9.06
3635,grapes,9.57
2857,vegetables,3.27
3684,citrus fruit,9.12
3120,cling film/bags,9.35
3872,sausage,2.65
2777,whole milk,8.15
2702,pork,5.16
4796,chicken,7.57
1564,sausage,2.65
2740,specialty bar,6.93
1833,cream,8.75
1757,vegetables,3.27
2975,rolls_buns,8.11
4032,vegetables,3.27
3979,citrus fruit,9.12
3772,whole milk,8.15
4523,sausage,2.65
4004,coffee,6.13
2936,ham,7.84
2394,canned beer,9.06
4616,canned beer,9.06
2362,canned beer,9.06
3593,pip fruit,3.52
4389,pork,5.16
3206,soap,3.15
4601,pip fruit,3.52
4382,beef,7.07
2718,sausage,2.65
4691,frozen chicken,9.97
3735,soda,8.04
3900,tropical fruit,7.28
4959,vegetables,3.27
1815,beef,7.07
2454,meat,3.48
4778,meat,3.48
2289,bottled water,4.69
1734,rolls_buns,8.11
4019,pastry,6.14
4605,pork,5.16
4864,pip fruit,3.52
4205,beef,7.07
1862,beef,7.07
1846,rolls_buns,8.11
2019,citrus fruit,9.12
2042,meat,3.48
1768,beverages,6.77
3847,beef,7.07
3557,ham,7.84
3975,hamburger meat,8.96
4198,beef,7.07
2580,beef,7.07
3474,vegetables,3.27
1678,citrus fruit,9.12
4254,yogurt,9.51
4704,tropical fruit,7.28
3343,sausage,2.65
3812,beef,7.07
3093,shopping bags,6.96
2170,canned beer,9.06
4867,rolls_buns,8.11
3899,vegetables,3.27
2941,hamburger meat,8.96
1958,hamburger meat,8.96
2760,sausage,2.65
4413,bottled beer,3.37
1737,tropical fruit,7.28
4202,soda,8.04
1065,sausage,2.65
3819,chicken,7.57
2854,coffee,6.13
4387,whole milk,8.15
4530,margarine,2.4
4191,tropical fruit,7.28
3102,meat,3.48
1946,cheese ,3.89
2156,newspapers,8.56
1444,rolls_buns,8.11
1699,citrus fruit,9.12
4954,whole milk,8.15
2207,sausage,2.65
4826,ham,7.84
2374,sausage,2.65
1604,sausage,2.65
4437,eggs,7.61
2319,whole milk,8.15
3018,rolls_buns,8.11
1195,whole milk,8.15
1768,sausage,2.65
3017,curd,2.47
3384,bottled water,4.69
1918,beef,7.07
2524,sausage,2.65
2798,chicken,7.57
2096,sausage,2.65
1489,pork,5.16
1431,yogurt,9.51
2747,whole milk,8.15
3054,sausage,2.65
2691,beef,7.07
1752,pip fruit,3.52
3027,sausage,2.65
4452,pastry,6.14
4129,chicken,7.57
3523,vegetables,3.27
2128,whole milk,8.15
4867,detergent,9.56
4762,rolls_buns,8.11
1632,house keeping products,2.81
4018,yogurt,9.51
1722,tropical fruit,7.28
1438,tropical fruit,7.28
3958,curd,2.47
3292,beef,7.07
2861,whole milk,8.15
1757,pork,5.16
1509,vegetables,3.27
2364,rolls_buns,8.11
3084,sausage,2.65
1850,yogurt,9.51
1949,whole milk,8.15
4740,bottled water,4.69
1072,sausage,2.65
4196,rolls_buns,8.11
4814,whole milk,8.15
1514,rolls_buns,8.11
4584,chicken,7.57
2751,tropical fruit,7.28
4155,sausage,2.65
4670,sausage,2.65
4566,sausage,2.65
2371,UHT-milk,7.26
3442,rolls_buns,8.11
3090,canned beer,9.06
1457,yogurt,9.51
4952,cream,8.75
3165,rolls_buns,8.11
2608,rolls_buns,8.11
2040,beverages,6.77
1327,rolls_buns,8.11
3363,rolls_buns,8.11
1731,bottled beer,3.37
2760,citrus fruit,9.12
3120,bottled water,4.69
1332,pastry,6.14
4530,eggs,7.61
3145,beef,7.07
1099,cheese,3.76
3188,tropical fruit,7.28
3748,packaged fruit/vegetables,3.09
4655,whole milk,8.15
1827,meat,3.48
2485,onions,4.27
4683,sausage,2.65
4358,beef,7.07
1931,beef,7.07
2490,sausage,2.65
4842,chicken,7.57
4616,canned beer,9.06
2810,sausage,2.65
2785,tropical fruit,7.28
3591,sausage,2.65
3896,sausage,2.65
3842,beef,7.07
2648,tropical fruit,7.28
4688,yogurt,9.51
3511,sausage,2.65
3084,bottled beer,3.37
3810,grapes,9.57
4348,beverages,6.77
3584,curd,2.47
2620,ice cream,8.03
2716,sausage,2.65
3797,vegetables,3.27
2976,dessert,3.75
2762,decalcifier,7.73
3752,canned beer,9.06
1659,coffee,6.13
4109,berries,4.72
1542,pork,5.16
2068,sausage,2.65
4509,pork,5.16
4646,sausage,2.65
2122,frozen dessert,2.79
2730,chicken,7.57
1800,vinegar,6.91
1456,rolls_buns,8.11
1138,whole milk,8.15
4104,pork,5.16
4985,rolls_buns,8.11
3181,grapes,9.57
3178,sausage,2.65
1688,finished products,4.23
1488,onions,4.27
4975,tropical fruit,7.28
4697,vegetables,3.27
4742,ham,7.84
2640,vegetables,3.27
2548,curd,2.47
2825,sausage,2.65
2592,canned beer,9.06
3622,ham,7.84
4852,packaged fruit/vegetables,3.09
1839,meat,3.48
2413,whole milk,8.15
2982,canned beer,9.06
1981,chicken,7.57
4440,rolls_buns,8.11
3497,pet care,4.48
3668,vegetables,3.27
4460,pastry,6.14
1335,sausage,2.65
4303,chicken,7.57
3508,frozen dessert,2.79
1959,citrus fruit,9.12
3856,sausage,2.65
3141,vegetables,3.27
4640,vegetables,3.27
4851,bottled beer,3.37
3306,sausage,2.65
2193,vegetables,3.27
1156,berries,4.72
4596,hamburger meat,8.96
1245,tropical fruit,7.28
1515,sausage,2.65
2564,sausage,2.65
4527,soda,8.04
2487,ice cream,8.03
3420,beef,7.07
4442,whole milk,8.15
3164,pork,5.16
3601,whole milk,8.15
3176,bottled beer,3.37
2568,pork,5.16
1856,vegetables,3.27
3859,canned beer,9.06
1668,citrus fruit,9.12
4499,pip fruit,3.52
1753,vegetables,3.27
3829,tropical fruit,7.28
4825,beef,7.07
3694,chicken,7.57
4147,citrus fruit,9.12
2196,meat,3.48
2229,cheese ,3.89
4724,citrus fruit,9.12
3066,specialty bar,6.93
1120,meat,3.48
4769,citrus fruit,9.12
4711,sausage,2.65
2391,citrus fruit,9.12
1216,turkey,2.58
3154,citrus fruit,9.12
3911,sausage,2.65
3111,newspapers,8.56
1385,whole milk,8.15
1158,yogurt,9.51
2733,yogurt,9.51
4999,bottled water,4.69
2882,berries,4.72
2590,packaged fruit/vegetables,3.09
4249,sausage,2.65
3012,nuts/prunes,4.87
1533,citrus fruit,9.12
1667,beef,7.07
4323,whole milk,8.15
2087,vegetables,3.27
1853,beef,7.07
2157,fish,6.1
1136,vegetables,3.27
2049,tropical fruit,7.28
3122,coffee,6.13
2245,sausage,2.65
4746,meat,3.48
4224,chicken,7.57
4219,berries,4.72
2641,frozen meals,8.75
3173,cream,8.75
2191,beef,7.07
4212,chicken,7.57
1902,chicken,7.57
1347,beef,7.07
1578,packaged fruit/vegetables,3.09
1264,sugar,2.61
4632,sausage,2.65
3452,berries,4.72
4822,bottled water,4.69
3987,sausage,2.65
1672,whole milk,8.15
4864,ice cream,8.03
3368,sausage,2.65
1283,vegetables,3.27
4428,sausage,2.65
2577,sausage,2.65
1973,beef,7.07
3284,fruit juice,8.22
1905,sugar,2.61
2226,berries,4.72
1932,yogurt,9.51
4506,pork,5.16
1843,bottled beer,3.37
3973,curd,2.47
1651,beef,7.07
3997,pork,5.16
4796,white bread,2.43
1245,grapes,9.57
3579,potato products,4.07
4387,vegetables,3.27
2496,chicken,7.57
3590,chicken,7.57
2890,fish,6.1
1401,canned beer,9.06
3297,vegetables,3.27
2867,chicken,7.57
1365,vegetables,3.27
2355,tropical fruit,7.28
1170,whole milk,8.15
3554,beef,7.07
4171,sausage,2.65
3963,whole milk,8.15
3076,rolls_buns,8.11
1629,citrus fruit,9.12
1366,whole milk,8.15
3677,pastry,6.14
2844,tropical fruit,7.28
4509,sliced cheese,5.66
3245,soda,8.04
2294,ham,7.84
1234,salty snack,8.88
3001,whole milk,8.15
3587,vegetables,3.27
2700,soda,8.04
3838,curd,2.47
4045,bottled water,4.69
1858,packaged fruit/vegetables,3.09
2280,tropical fruit,7.28
2454,ham,7.84
4437,pork,5.16
1685,beverages,6.77
2349,sausage,2.65
1463,sausage,2.65
3470,vegetables,3.27
4914,whole milk,8.15
2448,sausage,2.65
3387,soda,8.04
3167,soda,8.04
3175,sausage,2.65
2678,berries,4.72
4627,canned beer,9.06
1773,sausage,2.65
3100,sausage,2.65
3232,berries,4.72
3673,sausage,2.65
4068,newspapers,8.56
2340,frozen fish,2.22
1930,tropical fruit,7.28
3526,beef,7.07
1617,rolls_buns,8.11
1028,specialty chocolate,3.61
4440,sparkling wine,5.88
3554,citrus fruit,9.12
1632,onions,4.27
1429,whole milk,8.15
1225,photo/film,3.28
2509,hamburger meat,8.96
4945,vegetables,3.27
4342,whole milk,8.15
1832,pork,5.16
1518,tropical fruit,7.28
1512,chicken,7.57
4818,vegetables,3.27
4686,sausage,2.65
4986,whole milk,8.15
2755,rolls_buns,8.11
4532,hygiene articles,3.76
2070,ice cream,8.03
1894,curd,2.47
3473,whole milk,8.15
2140,onions,4.27
3286,finished products,4.23
4729,salt,9.84
3204,tropical fruit,7.28
1574,vegetables,3.27
3361,chocolate,8.36
1776,ice cream,8.03
2009,tropical fruit,7.28
3479,sausage,2.65
2394,butter,7.84
1337,vegetables,3.27
3574,tropical fruit,7.28
1727,citrus fruit,9.12
1016,UHT-milk,7.26
4326,beef,7.07
2212,curd,2.47
1990,citrus fruit,9.12
3836,yogurt,9.51
4560,bottled beer,3.37
1119,grapes,9.57
1379,pork,5.16
1658,sausage,2.65
2948,sausage,2.65
1273,artif. sweetener,2.6
1155,sausage,2.65
1672,pip fruit,3.52
3841,sausage,2.65
1683,whole milk,8.15
1774,eggs,7.61
4441,packaged fruit/vegetables,3.09
1929,chicken,7.57
1273,pork,5.16
2920,citrus fruit,9.12
2467,light bulbs,5.36
2678,cheese ,3.89
3423,sausage,2.65
4223,citrus fruit,9.12
2846,vegetables,3.27
4103,chicken,7.57
4789,ice cream,8.03
4916,pork,5.16
2518,pork,5.16
2622,onions,4.27
4321,tropical fruit,7.28
2050,cream,8.75
2146,berries,4.72
3938,berries,4.72
1636,rolls_buns,8.11
4694,ice cream,8.03
2432,coffee,6.13
4937,whole milk,8.15
1293,whole milk,8.15
2883,citrus fruit,9.12
2267,beef,7.07
3997,pork,5.16
4792,turkey,2.58
2292,margarine,2.4
1018,butter milk,2.61
4922,beef,7.07
3151,bottled water,4.69
2517,pip fruit,3.52
1499,whole milk,8.15
4993,chocolate,8.36
1606,sausage,2.65
2918,whole milk,8.15
1815,sausage,2.65
4524,grapes,9.57
1395,brown bread,8.2
3456,vegetables,3.27
1597,UHT-milk,7.26
2315,onions,4.27
4095,beef,7.07
3680,pork,5.16
2847,canned beer,9.06
3426,yogurt,9.51
4750,yogurt,9.51
1384,pip fruit,3.52
3120,meat,3.48
1081,coffee,6.13
1171,bottled water,4.69
4932,bottled beer,3.37
4189,sausage,2.65
4455,shopping bags,6.96
2928,pork,5.16
4817,sausage,2.65
4257,ice cream,8.03
4254,vegetables,3.27
4071,sausage,2.65
2109,sausage,2.65
1412,vegetables,3.27
4088,canned vegetables,6.22
4056,tropical fruit,7.28
4441,grapes,9.57
4363,whole milk,8.15
2107,sausage,2.65
2941,dessert,3.75
1497,shopping bags,6.96
2211,butter,7.84
3510,sausage,2.65
4074,pork,5.16
3190,whole milk,8.15
2297,brown bread,8.2
3311,frozen fish,2.22
3085,soda,8.04
3693,whole milk,8.15
4859,pork,5.16
2125,cream,8.75
2261,sausage,2.65
3679,grapes,9.57
4165,sausage,2.65
3538,citrus fruit,9.12
3913,ham,7.84
2336,chewing gum,3.71
3549,beef,7.07
4434,beef,7.07
2854,vegetables,3.27
3413,sausage,2.65
1780,canned fish,6.53
2899,sausage,2.65
2106,bottled water,4.69
3929,specialty cheese,5.7
3857,bottled water,4.69
4459,bottled water,4.69
4551,chicken,7.57
4042,sausage,2.65
2599,chicken,7.57
1045,chicken,7.57
4677,butter,7.84
1580,citrus fruit,9.12
3269,cream,8.75
4368,sausage,2.65
1111,beef,7.07
4841,chicken,7.57
3047,sausage,2.65
4349,citrus fruit,9.12
3580,ice cream,8.03
2370,specialty chocolate,3.61
3094,sausage,2.65
1146,pork,5.16
2287,UHT-milk,7.26
3911,UHT-milk,7.26
4891,cookware,6.71
4837,citrus fruit,9.12
4464,sausage,2.65
2940,sausage,2.65
4972,citrus fruit,9.12
4890,ham,7.84
4295,ham,7.84
2729,bottled water,4.69
1125,popcorn,9.41
1850,tropical fruit,7.28
2928,sausage,2.65
3717,hamburger meat,8.96
3809,soda,8.04
3437,sausage,2.65
1481,yogurt,9.51
1050,meat,3.48
2918,red/blush wine,8.77
4499,UHT-milk,7.26
4117,brown bread,8.2
1630,semi-finished bread,3.51
3715,whole milk,8.15
3512,cat food,6.92
1197,citrus fruit,9.12
3958,citrus fruit,9.12
4890,meat,3.48
3112,rolls_buns,8.11
4502,vegetables,3.27
4719,tropical fruit,7.28
1516,brown bread,8.2
4281,shopping bags,6.96
1566,grapes,9.57
4641,ham,7.84
2561,vegetables,3.27
2344,ice cream,8.03
2643,tropical fruit,7.28
3236,finished products,4.23
4863,dessert,3.75
2264,sparkling wine,5.88
3168,vegetables,3.27
1282,misc. beverages,7.18
2832,vegetables,3.27
3067,misc. beverages,7.18
1847,dessert,3.75
3525,sausage,2.65
1231,sausage,2.65
3471,meat,3.48
2421,sausage,2.65
4092,onions,4.27
1577,beef,7.07
3463,pip fruit,3.52
3518,ham,7.84
4325,yogurt,9.51
4947,citrus fruit,9.12
2194,vegetables,3.27
2868,pork,5.16
3211,bathroom cleaner,2.36
4537,ham,7.84
2243,grapes,9.57
2399,pastry,6.14
4133,citrus fruit,9.12
2937,photo/film,3.28
1029,dessert,3.75
4384,citrus fruit,9.12
3756,soda,8.04
1646,chewing gum,3.71
3066,vegetables,3.27
1259,pork,5.16
2245,turkey,2.58
3289,tropical fruit,7.28
3742,sausage,2.65
4537,sausage,2.65
4531,pork,5.16
3764,sausage,2.65
1581,grapes,9.57
2859,grapes,9.57
2175,vegetables,3.27
1301,pot plants,9.18
3465,bottled water,4.69
